
2024/01/30 (18:50:47) | ===> btop++ v.1.3.0
2024/01/30 (18:50:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/30 (18:50:47) | ERROR: Invalid size of hex value: 001E1E2E

2024/01/31 (23:11:22) | ===> btop++ v.1.3.0
2024/01/31 (23:11:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/31 (23:11:22) | ERROR: Invalid size of hex value: 001E1E2E

2024/03/31 (19:26:18) | ===> btop++ v.1.3.2
2024/03/31 (19:26:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/31 (19:26:18) | ERROR: Invalid size of hex value: 001E1E2E

2024/04/01 (08:13:05) | ===> btop++ v.1.3.2
2024/04/01 (08:13:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/01 (08:13:05) | ERROR: Invalid size of hex value: 001E1E2E

2024/04/04 (01:02:24) | ===> btop++ v.1.3.2
2024/04/04 (01:02:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/04 (01:02:24) | ERROR: Invalid size of hex value: 001E1E2E

2024/04/29 (22:27:03) | ===> btop++ v.1.3.2
2024/04/29 (22:27:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/29 (22:27:03) | ERROR: Invalid size of hex value: 001E1E2E
